rowid,studyid,site,year,factormanipulated,secondfactor,tempman,phenoman,phenophaseman,labfield,treatment,treatunits,treatchangeC,treatchangeday,genus,species,genus2,species2,phenophase,phenounits,phenovalue,phenovarunit,phenovarvalue,n,fitnesscomp,fitnessunit,stdfitness,fitnessvalue,fitnessvarunit,fitnessvarvalue,fitnesstype,notes
1,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,408.7,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
3,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,431.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
5,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,6.3,Cacopsylla,palmeni,NA,NA,development to fifth instar,mean day-degrees above 0,415,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
7,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,-7.7,Cacopsylla,brunneipennis,NA,NA,development to fifth instar,mean day-degrees above 0,423.4,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
2,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,439.1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
4,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,NA,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,345.2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **"
6,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,-15.1,Cacopsylla,palmeni,NA,NA,development to fifth instar,mean day-degrees above 0,424,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
8,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,-21.1,Cacopsylla,brunneipennis,NA,NA,development to fifth instar,mean day-degrees above 0,324.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **"
10,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,velutina,NA,NA,budburst,day,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
19,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,alba,NA,NA,budburst,day,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
20,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,velutina,NA,NA,budburst,day,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient
11,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,-5,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to alba
21,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,-8,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to alba
12,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,6,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to velutina
28,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,4,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient; relative to velutina
9,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,alba,NA,NA,budburst,day,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ambient=control
22,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-17,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,121,NA,NA,44,survival to third instar,percentage,NA,32.3949,SE,7.2578,1,ambient; relative to alba
23,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-17,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,121,NA,NA,44,fecundity,eggs/female,NA,475.598,SE,23.907,3,ambient; relative to alba
29,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,121,NA,NA,40,survival to third instar,percentage,NA,63.8657,SE,5.7836,1,ambient; relative to velutina
30,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,121,NA,NA,40,fecundity,eggs/female,NA,423.081,SE,30.344,3,ambient; relative to velutina
13,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
16,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,6,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
24,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,-8,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,52,survival to third instar,percentage,0.078438273,34.9359,SE,8.0877,1,ambient; relative to alba
25,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,-8,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,130,NA,NA,52,fecundity,eggs/female,-0.232242356,365.144,SE,25.585,3,ambient; relative to alba
31,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,4,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,59,survival to third instar,percentage,-0.30264289,44.5372,SE,5.8639,1,ambient; relative to velutina
32,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,4,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,130,NA,NA,59,fecundity,eggs/female,-0.144026794,362.146,SE,25.557,3,ambient; relative to velutina
14,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,0,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
17,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,11,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
26,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,10,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,148,NA,NA,59,survival to third instar,percentage,0.976789556,64.0379,SE,8.5555,1,ambient; relative to alba
27,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,10,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,148,NA,NA,59,fecundity,eggs/female,-0.400567286,285.089,SE,20.716,3,ambient; relative to alba
33,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,22,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,148,NA,NA,35,survival to third instar,percentage,-0.030448269,61.9211,SE,5.3472,1,ambient; relative to velutina
34,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,22,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,148,NA,NA,35,fecundity,eggs/female,-0.280511297,304.402,SE,28.748,3,ambient; relative to velutina
15,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,12,Lymantria,dispar,Quercus,alba,timing of egg hatch,day,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
18,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,23,Lymantria,dispar,Quercus,velutina,timing of egg hatch,day,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
35,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,1,day,NA,4,Asphondylia,aucubae,NA,NA,timing of oviposition,day,158,NA,NA,5,oviposition success,percentage,,0.10235,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2000
36,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,1,day,NA,9,Asphondylia,aucubae,NA,NA,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,,0.144103,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2001
37,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,2,day,NA,9,Asphondylia,aucubae,NA,NA,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,,0.248564,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2002
38,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,2,day,NA,12,Asphondylia,aucubae,NA,NA,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,,0.13842,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2003
39,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,3,day,NA,12,Asphondylia,aucubae,NA,NA,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,,0.263185,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2004
40,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,3,day,NA,15,Asphondylia,aucubae,NA,NA,timing of oviposition,day,169,NA,NA,5,oviposition success,percentage,,0.142208,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2005
41,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,4,day,NA,17,Asphondylia,aucubae,NA,NA,timing of oviposition,day,171,NA,NA,5,oviposition success,percentage,,0.18799,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2006
42,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,4,day,NA,18,Asphondylia,aucubae,NA,NA,timing of oviposition,day,172,NA,NA,5,oviposition success,percentage,,0.1499745,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2007
43,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,5,day,NA,20,Asphondylia,aucubae,NA,NA,timing of oviposition,day,174,NA,NA,5,oviposition success,percentage,,0.115927,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2008
44,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,5,day,NA,23,Asphondylia,aucubae,NA,NA,timing of oviposition,day,177,NA,NA,5,oviposition success,percentage,,0.110997,NA,NA,3,median across shrubs; treatchange relative to crack in the endocarp of area >10% (june 3); using dates from 1999 not 2009
45,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,NA,day,NA,NA,Aucuba,japonica,NA,NA,timing of oviposition,day,154,NA,NA,5,oviposition success,percentage,,NA,NA,NA,NA,crack in the endocarp of area >10%
46,HMK005,"Kunnasenvaara, Finland",1994,consumer,NA,NA,2,egg hatch,field,NA,day,NA,NA,Betula,pubescens,NA,NA,leaf flush,day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,HMK005,"Mustaseika, Finland",1994,consumer,NA,NA,2,egg hatch,field,NA,day,NA,NA,Betula,pubescens,NA,NA,leaf flush,day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,HMK005,"Kunnasenvaara, Finland",1994,consumer,NA,NA,2,egg hatch,field,1,day,NA,0,Epirrita,autumnata,NA,NA,timing of egg hatch,day,141,NA,NA,15,pupal mass,mg,NA,70.727,SE,3.8938,2,"synchronized, not manipulated; treatchange relative to budburst; assuming the same budburstat both sites and that 0-0.6 stage of budburst(out of 1) is still budburst"
50,HMK005,"Mustaseika, Finland",1994,consumer,NA,NA,2,egg hatch,field,1,day,NA,0,Epirrita,autumnata,NA,NA,timing of egg hatch,day,141,NA,NA,15,pupal mass,mg,-0.248043887,65.2885,SE,2.0611,2,"synchronized, not manipulated; treatchange relative to budburst; assuming the same budburstat both sites and that 0-0.6 stage of budburst(out of 1) is still budburst"
49,HMK005,"Kunnasenvaara, Finland",1994,consumer,NA,NA,2,egg hatch,field,2,day,NA,15,Epirrita,autumnata,NA,NA,timing of egg hatch,day,156,NA,NA,12,pupal mass,mg,NA,53.1836,SE,2.8319,2,treatchange relative to budburst; assuming the same budburstat both sites and that 0-0.6 stage of budburst(out of 1) is still budburst
51,HMK005,"Mustaseika, Finland",1994,consumer,NA,NA,2,egg hatch,field,2,day,NA,15,Epirrita,autumnata,NA,NA,timing of egg hatch,day,156,NA,NA,9,pupal mass,mg,-0.218041462,51.0529,SE,1.0311,2,treatchange relative to budburst; assuming the same budburstat both sites and that 0-0.6 stage of budburst(out of 1) is still budburst
52,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,first and peak density,day,210.227,NA,NA,10,NA,NA,,NA,NA,NA,NA,"no peak density, just plateau"
53,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,first and peak density,day,251.591,NA,NA,10,NA,NA,,NA,NA,NA,NA,"no peak density, just plateau"
70,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,first and peak density,day,211.223,NA,NA,10,NA,NA,,NA,NA,NA,NA,"no peak density, just plateau"
71,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,first and peak density,day,241.66,NA,NA,10,NA,NA,,NA,NA,NA,NA,"no peak density, just plateau"
56,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,end density,day,288.182,NA,NA,10,NA,NA,,NA,NA,NA,NA,
57,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,first density,day,253.636,NA,NA,10,NA,NA,,NA,NA,NA,NA,
58,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,peak density,day,274.091,NA,NA,10,NA,NA,,NA,NA,NA,NA,
59,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,end density,day,289.545,NA,NA,10,NA,NA,,NA,NA,NA,NA,
60,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,first density,day,239.924,NA,NA,10,NA,NA,,NA,NA,NA,NA,
61,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,peak density,day,254.89,NA,NA,10,NA,NA,,NA,NA,NA,NA,
62,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,end density,day,274.72,NA,NA,10,NA,NA,,NA,NA,NA,NA,
72,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Anemone,truffolia,NA,NA,end density,day,292.405,NA,NA,10,NA,NA,,NA,NA,NA,NA,
73,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,first density,day,241.754,NA,NA,10,NA,NA,,NA,NA,NA,NA,
74,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,peak density,day,255.526,NA,NA,10,NA,NA,,NA,NA,NA,NA,
75,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Gentiana,formosa,NA,NA,end density,day,284.003,NA,NA,10,NA,NA,,NA,NA,NA,NA,
76,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,first density,day,220.762,NA,NA,10,NA,NA,,NA,NA,NA,NA,
77,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,peak density,day,232.849,NA,NA,10,NA,NA,,NA,NA,NA,NA,
78,HMK014,"Hongyuan County, Sichuan Province, China",2009,temperature,NA,2,NA,NA,field,0,C,0,NA,Melanchra,pisi,NA,NA,end density,day,248.573,NA,NA,10,NA,NA,,NA,NA,NA,NA,
54,HMK014,"Hongyuan County, Sichuan Province, China",2008,temperature,NA,2,NA,NA,field,1,C,1.5,NA,Anemone,truffolia,NA,NA,first and peak density,day,211.133,NA,NA,10,NA,NA,,NA,NA,NA,NA,"no peak density, just plateau"
